response,ArrivalDateYear,ArrivalDateMonth,StaysInWeekendNights,StaysInWeekNights,MarketSegment,DistributionChannel,IsRepeatedGuest,PreviousCancellations,PreviousBookingsNotCanceled,ReservedRoomType,BookingChanges,Agent,Company,DaysInWaitingList,CustomerType,ADR,RequiredCarParkingSpaces,TotalOfSpecialRequests
1,2016,May,1,0,Corporate,Corporate,0,0,0,D,0,110,NA,0,Transient-Party,85,0,3
2,2015,September,0,3,Offline TA/TO,TA/TO,0,19,0,A,0,NA,NA,0,Transient,36,0,0
1,2016,August,0,2,Online TA,TA/TO,0,0,0,G,0,240,NA,0,Transient,311,1,1
1,2016,February,0,1,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,48,0,2
1,2015,September,1,4,Online TA,TA/TO,0,0,0,A,2,240,NA,0,Transient,188,0,2
2,2016,August,2,5,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,170,0,2
1,2015,September,2,5,Offline TA/TO,TA/TO,0,0,0,A,0,40,NA,0,Contract,63.29,0,0
1,2016,June,2,3,Direct,Direct,0,0,0,G,2,NA,NA,0,Transient,161.1,0,0
1,2016,October,1,3,Groups,Corporate,0,0,0,A,2,NA,NA,0,Transient-Party,49,0,0
1,2015,November,0,1,Corporate,Corporate,0,0,0,A,0,NA,NA,0,Transient,40,0,0
1,2015,October,2,5,Offline TA/TO,TA/TO,0,0,0,D,0,314,NA,0,Transient,52.8,0,1
1,2016,June,0,3,Groups,Direct,0,0,0,A,1,NA,NA,75,Transient-Party,76,0,0
2,2016,May,1,1,Groups,TA/TO,0,0,0,A,0,298,NA,0,Transient-Party,85,0,0
1,2016,March,1,1,Corporate,Corporate,0,0,0,A,0,NA,392,0,Transient-Party,40,0,0
1,2016,July,1,2,Offline TA/TO,TA/TO,0,0,0,D,0,8,NA,0,Transient,122.4,0,0
1,2016,March,0,1,Direct,Direct,0,0,0,A,0,NA,NA,0,Transient,40,0,0
1,2015,August,1,0,Offline TA/TO,TA/TO,0,0,0,E,0,NA,NA,0,Transient,207,0,0
1,2016,July,2,5,Direct,Direct,0,0,0,F,1,250,NA,0,Transient,276.6,0,1
2,2016,July,2,7,Online TA,TA/TO,0,0,0,G,0,242,NA,0,Transient,182,0,0
1,2016,January,0,1,Online TA,TA/TO,0,0,0,G,1,240,NA,0,Transient,76,0,0
2,2016,March,1,3,Groups,Direct,0,0,0,A,0,68,NA,0,Transient,84,0,0
1,2015,November,0,4,Corporate,Corporate,0,0,0,A,0,NA,20,0,Transient-Party,42,0,0
1,2016,April,2,5,Direct,Direct,0,0,0,E,4,250,NA,0,Transient-Party,115,0,2
1,2015,December,0,3,Offline TA/TO,TA/TO,0,0,0,A,0,171,NA,0,Transient,61,1,0
2,2016,November,1,3,Groups,Direct,0,0,0,A,0,NA,NA,0,Transient-Party,34,0,0
1,2016,March,2,2,Online TA,TA/TO,0,0,0,E,0,240,NA,0,Transient,75.3,1,1
2,2016,July,2,5,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,192,0,0
2,2016,July,2,5,Online TA,TA/TO,0,0,0,D,1,240,NA,0,Transient,167.14,0,1
1,2015,November,5,10,Offline TA/TO,TA/TO,0,0,0,A,0,156,NA,0,Transient,50.19,0,1
1,2016,May,1,1,Groups,TA/TO,0,0,0,A,0,298,NA,0,Transient-Party,85,0,0
1,2015,August,2,5,Offline TA/TO,TA/TO,0,0,0,D,0,5,NA,0,Transient-Party,219,0,2
1,2016,May,2,5,Offline TA/TO,TA/TO,0,0,0,D,0,315,NA,0,Transient,46.75,0,0
1,2016,October,0,0,Online TA,Direct,1,0,0,A,0,240,NA,0,Transient,0,0,1
1,2016,August,0,1,Online TA,TA/TO,0,0,0,A,0,339,NA,0,Transient-Party,140,0,0
1,2016,May,0,1,Offline TA/TO,TA/TO,0,0,0,A,0,78,NA,0,Transient,66,0,0
1,2015,November,0,1,Online TA,TA/TO,0,0,0,D,1,240,NA,0,Transient,40,0,0
1,2016,April,1,1,Groups,Corporate,0,0,0,E,0,NA,NA,0,Transient-Party,91,0,0
1,2015,October,0,1,Corporate,Corporate,0,0,0,A,0,NA,88,0,Transient,48,0,0
1,2016,October,0,4,Groups,Corporate,0,0,0,A,3,NA,223,0,Transient-Party,103,0,0
1,2016,April,0,1,Direct,Direct,0,0,0,E,1,250,NA,0,Transient,85,0,0
1,2016,May,1,0,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,58,0,0
1,2016,May,0,2,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,70,0,0
1,2016,September,1,2,Online TA,TA/TO,0,0,0,H,0,240,NA,0,Transient,145,0,1
1,2015,November,0,2,Direct,Direct,0,0,0,F,0,NA,NA,0,Transient,78,0,0
1,2016,June,0,1,Online TA,TA/TO,0,0,0,A,0,306,NA,0,Transient,98.4,1,0
1,2015,September,2,5,Offline TA/TO,TA/TO,0,0,0,A,0,6,NA,0,Transient,37,0,0
1,2016,May,0,3,Groups,TA/TO,0,0,0,A,0,315,NA,0,Transient-Party,48,0,0
1,2016,October,1,3,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,45.2,0,2
1,2016,October,1,3,Groups,Corporate,0,0,0,A,0,NA,NA,0,Transient-Party,49,0,0
1,2016,January,0,1,Direct,Direct,0,0,0,D,0,NA,NA,0,Transient,45,0,0
1,2016,August,1,0,Direct,Direct,0,0,0,H,0,NA,NA,0,Transient-Party,274,0,2
2,2016,July,2,5,Offline TA/TO,TA/TO,0,0,0,A,0,315,NA,0,Transient,57.8,0,1
2,2015,July,1,5,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,98.5,0,2
1,2016,September,0,4,Groups,TA/TO,0,0,0,A,2,201,NA,0,Transient-Party,82.19,0,0
2,2016,April,0,3,Direct,Direct,0,0,0,G,0,250,NA,0,Transient,125.67,0,1
1,2015,August,0,4,Online TA,TA/TO,0,0,0,A,0,241,NA,0,Transient,135.14,0,0
1,2016,October,2,5,Groups,Direct,0,0,0,E,1,273,NA,125,Transient-Party,71.56,0,0
1,2016,September,2,2,Direct,Direct,0,0,0,E,0,250,NA,0,Transient,111.75,1,0
1,2016,March,0,1,Groups,TA/TO,0,0,0,A,0,66,NA,0,Transient-Party,30,0,0
1,2015,October,0,3,Groups,Corporate,0,0,0,A,1,NA,223,0,Transient-Party,44.5,0,0
2,2015,September,1,1,Offline TA/TO,TA/TO,1,1,0,A,0,208,NA,0,Transient,34,0,0
1,2016,February,8,20,Offline TA/TO,TA/TO,0,0,0,A,1,363,NA,0,Transient,72.21,0,0
1,2016,November,1,3,Groups,Direct,0,0,0,A,0,NA,NA,0,Transient-Party,36,0,0
1,2016,October,1,0,Corporate,Corporate,0,0,0,A,0,NA,200,0,Transient,45,0,0
2,2016,February,0,2,Groups,TA/TO,0,0,0,A,0,134,NA,0,Transient-Party,68,0,0
1,2016,February,0,1,Direct,Direct,0,0,0,A,0,NA,NA,0,Transient,55,0,0
1,2016,November,2,5,Offline TA/TO,TA/TO,0,0,0,A,0,26,NA,0,Transient,55.8,0,0
1,2016,August,0,4,Online TA,TA/TO,0,0,0,H,0,240,NA,0,Transient,352,0,1
1,2015,November,2,1,Online TA,TA/TO,0,0,0,D,3,240,NA,0,Transient,58,0,2
2,2015,October,1,2,Groups,TA/TO,0,1,0,A,0,68,NA,0,Transient,81,0,0
2,2015,September,0,3,Groups,Corporate,0,1,0,A,0,NA,223,0,Transient,40.05,0,0
1,2016,January,0,1,Offline TA/TO,TA/TO,0,0,0,A,0,314,NA,0,Transient-Party,29,0,1
1,2015,November,2,5,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,32.4,0,2
1,2016,February,2,2,Direct,Direct,0,0,0,A,0,NA,NA,0,Transient,35,0,1
2,2015,October,2,2,Online TA,TA/TO,0,0,0,A,1,240,NA,0,Transient,71,0,2
2,2016,September,1,2,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,110,0,2
1,2016,September,0,1,Offline TA/TO,TA/TO,0,0,0,E,1,NA,360,0,Transient-Party,116.1,0,0
1,2016,March,1,3,Direct,Direct,1,1,5,E,0,NA,NA,0,Transient,98.5,1,4
1,2015,September,0,1,Online TA,TA/TO,0,0,0,A,1,240,NA,0,Transient,143,1,2
1,2016,May,4,6,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,64,0,0
1,2016,April,1,4,Online TA,TA/TO,0,0,0,E,0,314,NA,0,Transient,61.2,0,0
1,2015,July,2,3,Direct,Direct,0,0,0,G,1,NA,NA,0,Transient,240,0,0
2,2016,January,1,1,Online TA,TA/TO,0,0,0,A,0,306,NA,0,Transient,32.3,0,0
1,2015,October,2,3,Offline TA/TO,TA/TO,0,0,0,A,0,6,NA,0,Transient,41.25,0,1
1,2016,March,0,2,Corporate,Corporate,1,0,1,A,0,NA,NA,0,Transient,45,0,1
1,2015,July,2,3,Direct,Direct,0,0,0,F,0,NA,NA,0,Transient,201.6,0,1
2,2015,October,2,5,Groups,TA/TO,0,1,0,A,0,142,NA,0,Transient-Party,63.4,0,0
1,2015,September,4,10,Offline TA/TO,TA/TO,0,0,0,D,0,243,NA,0,Contract,68,0,3
1,2016,October,2,5,Groups,Direct,0,0,0,A,1,273,NA,0,Transient-Party,46.36,0,0
2,2016,August,2,3,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,170,0,2
2,2016,December,3,6,Online TA,TA/TO,0,0,0,E,0,240,NA,0,Transient,96.4,0,0
1,2016,August,1,3,Online TA,TA/TO,0,0,0,E,0,240,NA,0,Transient,209,0,2
1,2016,April,0,1,Offline TA/TO,TA/TO,0,0,0,D,0,251,NA,0,Transient,59,0,0
2,2015,September,2,5,Groups,TA/TO,0,24,0,A,0,96,NA,0,Transient-Party,8,0,0
1,2016,September,4,6,Offline TA/TO,TA/TO,0,0,0,D,0,147,NA,0,Transient,8,0,0
1,2016,October,2,5,Online TA,TA/TO,0,0,0,E,0,240,NA,0,Transient-Party,56.57,0,3
2,2016,February,2,0,Groups,TA/TO,1,1,0,A,0,67,NA,0,Transient-Party,86,0,0
1,2015,September,0,1,Complementary,Direct,0,0,0,C,0,NA,NA,0,Transient,0,0,0
1,2016,November,0,0,Online TA,TA/TO,0,0,0,E,0,240,NA,0,Transient,0,0,0
1,2016,December,4,12,Online TA,TA/TO,0,0,0,E,0,240,NA,0,Transient,64.21,0,2
1,2015,December,2,1,Groups,TA/TO,0,0,0,A,0,350,NA,0,Transient-Party,68,0,0
1,2016,January,0,1,Direct,Direct,0,0,0,E,0,NA,NA,0,Transient,58,1,1
1,2015,October,2,5,Groups,Direct,0,0,0,A,0,273,NA,0,Transient-Party,43.41,0,0
1,2016,May,0,1,Offline TA/TO,TA/TO,0,0,0,A,0,330,NA,0,Transient,60,0,0
2,2015,November,0,2,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,32.4,0,2
1,2016,June,2,4,Online TA,TA/TO,0,0,0,E,0,240,NA,0,Transient,99,0,2
1,2015,November,1,0,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,36,0,1
2,2016,December,0,4,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,64,0,1
2,2016,October,2,5,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,62.29,0,0
1,2016,April,2,5,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,75,0,1
1,2016,August,0,1,Direct,Direct,0,0,0,D,1,250,NA,0,Transient,204,0,1
1,2016,September,1,0,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,85,0,3
1,2015,September,4,10,Offline TA/TO,TA/TO,0,0,0,A,0,2,NA,0,Contract,48.88,0,0
1,2016,June,2,5,Offline TA/TO,TA/TO,0,0,0,D,0,243,NA,0,Contract,90.9,0,1
1,2016,October,2,0,Groups,Corporate,0,0,0,A,0,NA,NA,0,Transient-Party,55,0,0
1,2015,September,1,4,Online TA,TA/TO,0,0,0,A,2,240,NA,0,Transient-Party,110.7,0,0
1,2016,December,0,1,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,56,0,1
1,2016,September,1,1,Direct,Direct,0,0,0,A,0,250,NA,0,Transient,110,0,0
2,2016,February,0,2,Groups,TA/TO,0,0,0,A,0,38,NA,0,Transient,70,0,0
1,2015,August,2,8,Offline TA/TO,TA/TO,0,0,0,E,1,5,NA,0,Transient,200.7,1,2
1,2015,October,2,5,Online TA,TA/TO,0,0,0,A,1,240,NA,0,Transient,76.43,0,3
1,2015,August,1,5,Direct,Direct,0,0,0,H,3,NA,NA,0,Transient,190,0,1
1,2016,August,0,1,Direct,Direct,0,0,0,D,0,250,NA,0,Transient,221,0,1
2,2016,November,0,1,Corporate,Corporate,1,5,3,A,0,NA,331,0,Transient,35,0,0
1,2016,April,1,1,Groups,Corporate,0,0,0,E,0,NA,NA,0,Transient,91,0,0
1,2016,August,2,5,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,179,0,0
2,2015,September,0,3,Groups,Corporate,0,1,0,A,0,NA,223,0,Transient,40.05,0,0
2,2016,March,0,1,Online TA,TA/TO,0,0,0,A,2,240,NA,0,Transient,56,0,1
2,2016,May,2,5,Online TA,TA/TO,0,0,0,G,0,240,NA,0,Transient,162.71,0,0
1,2016,July,1,4,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,182,0,0
2,2016,February,0,2,Groups,TA/TO,0,0,0,A,0,38,NA,0,Transient,70,0,0
2,2016,May,1,1,Groups,TA/TO,0,0,0,A,0,298,NA,0,Transient-Party,85,0,0
1,2015,September,0,3,Offline TA/TO,TA/TO,0,0,0,A,2,256,NA,0,Transient-Party,73,0,0
1,2016,November,0,3,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,37.8,0,1
2,2015,July,2,2,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,172,0,0
1,2016,May,2,4,Online TA,TA/TO,0,0,0,A,1,240,NA,0,Transient,63.3,0,1
1,2016,July,2,6,Offline TA/TO,TA/TO,0,0,0,A,1,177,NA,0,Transient-Party,142.2,1,2
2,2016,May,1,1,Groups,TA/TO,0,0,0,A,0,298,NA,0,Transient-Party,85,0,0
1,2016,September,2,5,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,102,1,2
1,2016,March,2,4,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,48,0,2
1,2016,July,2,5,Offline TA/TO,TA/TO,0,0,0,E,1,253,NA,0,Transient,161.6,0,0
1,2016,February,0,2,Groups,TA/TO,0,0,0,A,0,134,NA,0,Transient-Party,70,0,0
1,2016,October,1,2,Offline TA/TO,TA/TO,0,0,0,A,0,6,NA,0,Transient,46,0,1
1,2016,April,1,2,Online TA,TA/TO,0,0,0,E,0,240,NA,0,Transient,91,1,0
1,2016,July,1,1,Online TA,TA/TO,0,0,0,E,0,240,NA,0,Transient,231,1,2
1,2015,December,0,4,Online TA,TA/TO,0,0,0,D,1,240,NA,0,Transient,34,0,1
1,2015,October,1,1,Direct,Direct,0,0,0,D,0,250,NA,0,Transient,107.5,1,1
1,2016,April,0,1,Online TA,TA/TO,0,0,0,E,0,241,NA,0,Transient,65.45,0,0
2,2015,August,1,5,Online TA,TA/TO,0,1,0,A,0,240,NA,0,Transient,90.67,0,1
1,2015,October,7,15,Corporate,Corporate,0,0,0,E,2,185,281,0,Transient-Party,52.2,0,0
1,2015,August,1,1,Online TA,TA/TO,0,0,1,D,0,240,NA,0,Transient-Party,154,0,1
1,2016,October,1,0,Corporate,Corporate,1,0,1,D,0,NA,445,0,Group,70.2,0,0
1,2016,February,1,3,Online TA,TA/TO,0,0,0,D,0,242,NA,0,Group,58,0,1
1,2016,December,2,4,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,90.17,0,0
2,2016,September,0,3,Groups,TA/TO,0,0,0,D,0,1,NA,0,Transient,89,0,0
1,2016,April,1,1,Groups,Corporate,0,0,0,D,1,NA,NA,0,Transient,75,0,0
1,2015,December,1,0,Direct,Direct,0,0,0,A,0,NA,NA,0,Transient,75,0,0
1,2016,March,0,2,Direct,Direct,0,0,0,A,1,NA,NA,0,Transient,55,0,0
1,2015,November,1,4,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,66.64,0,0
1,2016,July,0,2,Online TA,TA/TO,0,0,0,A,1,240,NA,0,Transient,160,0,1
1,2016,August,2,2,Direct,Direct,0,0,0,A,0,NA,NA,0,Transient-Party,183.6,0,0
1,2016,March,0,4,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,85.75,0,1
1,2016,April,0,3,Online TA,TA/TO,0,0,0,E,0,240,NA,0,Transient,133,1,0
1,2016,March,1,4,Groups,Direct,0,0,0,A,1,NA,223,0,Transient-Party,66,0,1
1,2015,December,0,2,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,48,0,1
1,2016,March,1,0,Direct,Direct,1,0,1,A,0,NA,NA,0,Transient,40,0,0
1,2016,January,1,2,Corporate,Corporate,1,0,1,A,0,NA,86,0,Transient,38,0,0
1,2016,April,0,1,Direct,TA/TO,0,0,0,E,0,NA,NA,0,Transient,95,0,2
1,2015,October,2,2,Offline TA/TO,TA/TO,0,0,0,D,0,314,NA,0,Contract,48.6,0,0
2,2016,August,1,5,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,221,0,0
1,2016,December,0,4,Groups,Direct,0,0,0,A,0,NA,NA,0,Transient-Party,39.3,1,0
2,2015,October,1,1,Offline TA/TO,TA/TO,0,1,0,A,0,208,NA,0,Transient,34,0,0
2,2016,June,2,7,Online TA,TA/TO,0,1,0,E,0,240,NA,0,Transient,99,0,2
1,2016,February,4,7,Offline TA/TO,TA/TO,0,0,0,E,0,2,NA,0,Transient,47,0,1
1,2016,January,0,1,Offline TA/TO,TA/TO,0,0,0,A,0,314,NA,0,Transient,29,0,0
1,2016,April,2,5,Offline TA/TO,TA/TO,0,0,0,E,0,40,NA,0,Contract,86.38,0,0
1,2016,October,0,1,Groups,TA/TO,0,0,0,A,0,368,NA,0,Transient-Party,52,0,0
2,2016,July,0,5,Online TA,TA/TO,0,0,0,E,0,240,NA,0,Transient,225.8,0,0
2,2016,April,0,2,Online TA,TA/TO,0,0,0,E,0,240,NA,0,Transient,118,0,2
1,2016,November,0,0,Offline TA/TO,TA/TO,0,0,0,A,0,146,NA,0,Transient,0,0,0
1,2015,August,2,5,Offline TA/TO,TA/TO,0,0,0,A,0,29,NA,0,Transient,82.35,0,0
1,2015,July,2,8,Offline TA/TO,TA/TO,0,0,0,A,1,6,NA,0,Transient,90.95,0,1
1,2016,April,1,0,Online TA,TA/TO,0,0,0,A,0,314,NA,0,Transient,52,1,0
1,2016,March,0,1,Corporate,Corporate,0,0,0,A,0,NA,167,0,Transient,30,0,0
2,2015,July,2,8,Direct,Direct,0,0,0,E,0,NA,NA,0,Transient,108.3,0,2
1,2016,October,2,1,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,56.73,0,0
1,2016,July,1,0,Direct,Direct,1,0,0,D,0,NA,NA,0,Transient,169,0,0
1,2016,July,2,3,Direct,Direct,0,0,0,A,0,250,NA,0,Transient,177,0,0
1,2016,March,1,2,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,81,0,0
2,2015,July,3,6,Offline TA/TO,TA/TO,0,0,0,D,0,15,NA,0,Transient,111.2,0,0
1,2015,October,2,5,Groups,Direct,0,0,0,D,0,273,NA,0,Transient-Party,68.74,0,0
1,2016,August,1,4,Online TA,TA/TO,0,0,0,A,2,240,NA,0,Transient,169.2,1,1
2,2015,December,2,2,Online TA,TA/TO,0,1,0,A,0,240,NA,0,Transient,55,0,1
1,2016,December,0,1,Online TA,TA/TO,0,0,0,A,3,240,NA,0,Transient,37.8,0,0
2,2016,July,0,1,Online TA,TA/TO,0,0,0,H,0,240,NA,0,Transient,225,0,0
2,2016,April,2,5,Groups,TA/TO,0,0,0,A,0,71,NA,0,Transient,39,0,0
1,2016,April,2,3,Groups,TA/TO,0,0,0,A,13,95,NA,0,Transient-Party,75,0,1
2,2016,August,0,2,Online TA,TA/TO,0,0,0,D,4,240,NA,0,Transient,209,0,0
1,2016,October,2,2,Offline TA/TO,TA/TO,0,0,0,A,0,96,NA,0,Transient,48,0,0
2,2016,April,2,5,Groups,Direct,0,0,0,D,0,273,NA,0,Transient,76.05,0,0
1,2016,October,1,1,Direct,Direct,0,0,0,A,0,NA,NA,0,Transient-Party,38,0,2
1,2015,November,1,2,Groups,TA/TO,0,0,0,A,0,134,NA,0,Transient-Party,57,0,0
2,2016,October,1,3,Groups,Corporate,0,0,0,A,0,NA,NA,0,Transient-Party,49,0,0
1,2016,February,2,5,Offline TA/TO,TA/TO,0,0,0,E,0,95,NA,0,Transient,91,0,0
1,2016,March,2,3,Offline TA/TO,TA/TO,0,0,0,A,1,196,NA,0,Transient,58,0,0
1,2016,August,1,0,Direct,Direct,0,0,0,E,0,250,NA,0,Transient,210.6,0,0
2,2015,July,2,6,Online TA,TA/TO,0,0,0,E,0,240,NA,0,Transient,96.3,0,1
1,2016,May,0,1,Direct,Direct,0,0,0,A,0,NA,NA,0,Transient,79,0,0
1,2015,October,0,1,Offline TA/TO,TA/TO,0,0,0,A,0,330,NA,0,Transient,44.5,0,0
1,2016,May,1,1,Groups,TA/TO,0,0,0,A,0,298,NA,0,Transient-Party,85,0,0
1,2016,March,0,1,Online TA,TA/TO,0,0,0,A,0,314,NA,0,Transient,42.4,1,0
1,2016,May,4,7,Offline TA/TO,TA/TO,0,0,0,E,0,40,NA,0,Contract,82.96,0,1
1,2016,October,0,1,Online TA,TA/TO,0,0,0,D,1,240,NA,0,Transient-Party,81.5,0,0
1,2016,September,2,0,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,141,1,2
1,2016,May,1,1,Groups,TA/TO,0,0,0,A,0,298,NA,0,Transient-Party,85,0,0
1,2016,April,2,5,Offline TA/TO,TA/TO,0,0,0,A,0,314,NA,0,Transient,41.76,0,0
1,2016,November,1,0,Corporate,Corporate,0,0,0,A,0,NA,NA,0,Transient,64.5,1,0
1,2016,March,0,1,Offline TA/TO,TA/TO,0,0,0,A,0,8,NA,0,Transient,29,0,0
1,2016,May,1,1,Online TA,TA/TO,0,0,0,E,1,242,NA,0,Transient,79.2,0,1
2,2016,August,2,5,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,195.43,0,0
1,2016,October,1,3,Offline TA/TO,TA/TO,0,0,0,A,0,96,NA,0,Transient,46,0,2
2,2015,August,2,5,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,122.86,0,0
1,2016,October,2,6,Groups,Corporate,0,0,0,A,2,NA,223,0,Transient-Party,60,0,0
1,2016,April,1,0,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient-Party,56,0,1
2,2016,April,0,1,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,80,0,0
1,2016,July,1,3,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,160,0,0
2,2016,September,3,5,Online TA,TA/TO,0,0,0,H,0,240,NA,0,Transient,252,0,0
1,2015,July,2,7,Online TA,TA/TO,0,0,0,G,0,240,NA,0,Transient,190.33,0,1
2,2016,September,1,0,Direct,Direct,0,0,0,E,0,250,NA,0,Transient,143.1,0,0
1,2016,October,0,1,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,60,0,3
1,2015,August,3,5,Offline TA/TO,TA/TO,0,0,0,A,0,196,NA,0,Transient,133,0,1
2,2015,December,0,4,Groups,TA/TO,0,0,0,A,0,308,NA,122,Transient-Party,0,0,0
1,2016,April,0,3,Groups,Direct,0,0,0,A,1,385,NA,0,Transient-Party,85.33,0,0
1,2015,August,1,1,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,132.6,1,1
1,2016,April,3,5,Offline TA/TO,TA/TO,0,0,0,A,0,115,NA,0,Transient,41.4,0,0
1,2016,January,1,3,Groups,Corporate,0,0,0,A,0,NA,174,0,Transient-Party,68,0,0
2,2016,February,1,2,Groups,TA/TO,0,1,0,A,0,134,NA,0,Transient,79,0,0
1,2016,February,1,4,Offline TA/TO,TA/TO,0,0,0,D,0,115,NA,0,Transient,56.7,0,0
1,2016,January,0,3,Offline TA/TO,TA/TO,0,0,0,A,0,314,NA,0,Transient,29,0,0
1,2016,December,1,2,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient-Party,51.13,0,3
2,2016,December,2,3,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,56,0,4
2,2016,December,0,1,Online TA,TA/TO,0,0,0,E,0,240,NA,0,Transient,382,0,0
1,2016,February,1,0,Corporate,Corporate,0,0,0,A,0,NA,NA,0,Transient,39,0,1
1,2016,April,0,1,Direct,Direct,1,0,6,A,0,NA,NA,0,Transient,50,0,1
1,2015,December,0,3,Direct,Direct,0,0,0,A,0,NA,NA,0,Transient,145.67,1,0
1,2016,April,1,1,Groups,TA/TO,0,0,0,A,0,298,NA,0,Transient-Party,85,0,0
1,2016,March,0,3,Groups,TA/TO,0,0,0,A,0,115,NA,0,Transient-Party,86.55,0,0
1,2015,October,0,0,Online TA,TA/TO,0,0,0,D,1,240,NA,0,Transient-Party,0,0,3
1,2016,July,0,1,Direct,Direct,0,0,0,A,0,NA,NA,0,Transient,171,1,0
1,2016,August,0,3,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient-Party,232.33,0,0
1,2015,July,2,5,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,100.86,0,0
1,2016,August,0,1,Online TA,TA/TO,0,0,0,E,0,240,NA,0,Transient,229,0,1
1,2015,August,2,4,Direct,Direct,0,0,0,A,2,NA,NA,0,Transient,129,0,0
1,2016,October,2,3,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient-Party,68,0,1
1,2016,August,0,2,Corporate,Corporate,1,0,5,A,1,NA,154,0,Transient,125,0,0
1,2015,September,4,10,Offline TA/TO,TA/TO,0,0,0,D,0,71,NA,0,Contract,62.48,0,0
1,2016,October,0,1,Direct,Direct,0,0,0,F,0,250,NA,0,Transient,120,0,0
2,2016,December,2,5,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,52.33,0,0
1,2016,October,3,5,Online TA,TA/TO,0,0,0,G,0,240,NA,0,Transient,144.75,1,1
1,2016,July,2,5,Offline TA/TO,TA/TO,0,0,0,D,1,8,NA,0,Transient,81.6,0,1
1,2016,September,1,4,Direct,Direct,0,0,0,E,0,250,NA,0,Transient,163.1,1,1
1,2015,December,0,2,Online TA,TA/TO,0,0,0,H,0,240,NA,0,Transient,155,0,0
1,2015,August,2,5,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,174.71,0,1
2,2015,September,1,1,Offline TA/TO,TA/TO,0,0,0,A,0,208,NA,0,Transient,74,0,0
1,2015,November,0,3,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,70,1,2
1,2016,March,0,3,Online TA,TA/TO,1,0,1,E,0,240,NA,0,Transient,83,1,1
1,2016,October,2,2,Offline TA/TO,TA/TO,0,0,0,A,0,96,NA,0,Transient,46,0,0
2,2016,February,1,2,Groups,TA/TO,0,1,0,A,0,134,NA,0,Transient,79,0,0
1,2016,July,4,10,Online TA,TA/TO,0,0,0,A,0,242,NA,0,Transient,126,0,1
1,2016,October,0,2,Corporate,Corporate,1,0,6,A,0,NA,269,0,Transient,45,0,0
2,2015,December,2,1,Groups,TA/TO,0,0,0,A,0,38,NA,0,Transient,68,0,0
1,2016,March,1,0,Direct,Direct,0,0,0,A,0,NA,NA,0,Transient,54,1,0
1,2016,October,0,1,Offline TA/TO,TA/TO,1,0,1,A,0,146,NA,0,Group,39,1,0
